id_producto,nombre,precio,numero_cajas,categoria
546,BESTÅ / EKET,1175200,4,dormitorio
547,BILLY,732000,3,dormitorio
548,BESTÅ,3408000,3,dormitorio
549,ALGOT,241600,2,dormitorio
55,LEIRVIK,956000,3,dormitorio
550,JONAXEL,528000,4,dormitorio
551,ALGOT,146880,2,dormitorio
552,ENERYDA,28000,2,dormitorio
553,IVAR,636000,3,dormitorio
554,BILLY / BOTTNA,188000,2,dormitorio
555,BROR,412000,3,dormitorio
556,ENERYDA,28000,2,dormitorio
557,BESTÅ,180000,5,dormitorio
558,BESTÅ,20000,3,dormitorio
559,BESTÅ,80000,4,dormitorio
56,NEIDEN,159200,4,dormitorio
560,IVAR,489600,5,dormitorio
561,JONAXEL,112000,2,dormitorio
562,IVAR,473600,5,dormitorio
563,BESTÅ,1112000,1,dormitorio
564,HEMNES,1876800,1,dormitorio
565,BILLY / MORLIDEN,332000,3,dormitorio
566,BROR,76000,5,dormitorio
567,BROR,684000,5,dormitorio
568,IVAR,280000,3,dormitorio
569,JONAXEL,312000,5,dormitorio
57,HEMNES,540000,3,dormitorio
570,BILLY / OXBERG,1432000,4,dormitorio
571,JONAXEL,392000,2,dormitorio
572,BESTÅ,792000,1,dormitorio
573,BILLY / OXBERG,1388000,3,dormitorio
574,NOTVIKEN,48000,4,dormitorio
575,BESTÅ,1296000,1,dormitorio
576,BILLY / OXBERG,1256000,5,dormitorio
577,LIATORP,2748000,3,dormitorio
578,BROR,396000,1,dormitorio
579,MÖLLARP,13600,2,dormitorio
58,SLATTUM,476000,1,dormitorio
580,BROR,300000,5,dormitorio
581,HACKÅS,13600,4,dormitorio
582,HACKÅS,25600,3,dormitorio
583,ALGOT,8000,5,dormitorio
584,BESTÅ,100000,5,dormitorio
585,BESTÅ,180000,5,dormitorio
586,IVAR,36000,3,dormitorio
587,HEJNE,588000,5,dormitorio
588,BESTÅ,108000,3,dormitorio
589,SVALNÄS,528000,5,dormitorio
59,NEIDEN,159200,2,dormitorio
590,KALLAX,556000,4,dormitorio
591,KOLBJÖRN,912000,3,dormitorio
592,IVAR,470400,4,dormitorio
593,ORRNÄS,13600,1,dormitorio
594,JONAXEL,56000,5,dormitorio
595,BILLY / OXBERG,1184000,1,dormitorio
596,IVAR,508800,4,dormitorio
597,BESTÅ,60000,4,dormitorio
598,VEBERÖD,516000,4,dormitorio
599,BILLY,868000,5,dormitorio
6,FRANKLIN,103200,2,living
60,SAGSTUA,436000,1,dormitorio
600,IVAR,909600,4,dormitorio
601,BESTÅ,920000,1,dormitorio
602,EKET,1464000,3,dormitorio
603,IVAR,108000,3,dormitorio
604,HAVSTA,500000,5,dormitorio
605,SVALNÄS,2084000,5,dormitorio
606,BESTÅ,1459600,3,dormitorio
607,ALGOT,104000,5,dormitorio
608,BESTÅ,476000,3,dormitorio
609,BESTÅ,1316000,1,dormitorio
61,BRIMNES,460000,5,dormitorio
610,JONAXEL,664000,1,dormitorio
611,BAGGANÄS,28000,3,dormitorio
612,KOLBJÖRN,360000,2,dormitorio
613,JONAXEL,120000,2,dormitorio
614,SELSVIKEN,100000,4,dormitorio
615,BESTÅ,20000,3,dormitorio
616,EKET,12000,2,dormitorio
617,BILLSBRO,15200,4,dormitorio
618,HACKÅS,40000,4,dormitorio
619,LAPPVIKEN,36000,3,dormitorio
62,ASKVOLL,356000,3,dormitorio
620,BESTÅ,48000,3,dormitorio
621,BESTÅ,20000,4,dormitorio
622,LAPPVIKEN,36000,2,dormitorio
623,MOSSARYD,23200,3,dormitorio
624,BROR,72000,4,dormitorio
625,KALLAX,596000,4,dormitorio
626,IVAR,36000,5,dormitorio
627,BROR,396000,2,dormitorio
628,BILLY,80000,1,dormitorio
629,LAXVIKEN,140000,5,dormitorio
63,TRYSIL,420000,2,dormitorio
630,KALLAX,1080000,2,dormitorio
631,IVAR,539200,3,dormitorio
632,IVAR,868000,1,dormitorio
633,IVAR,36000,4,dormitorio
634,VASSVIKEN,120000,5,dormitorio
635,EKET,331200,4,dormitorio
636,BESTÅ,2168000,4,dormitorio
637,BROR,828000,3,dormitorio
638,BESTÅ,2344000,5,dormitorio
639,HAVSTA,1788000,3,dormitorio
64,MALM,396000,1,dormitorio
640,JONAXEL,792000,2,dormitorio
641,ALGOT,366400,2,dormitorio
642,ALGOT,331200,1,dormitorio
643,IVAR,800000,4,dormitorio
644,JONAXEL,596000,5,dormitorio
645,ALGOT,107680,5,dormitorio
646,OLAUS,308800,5,dormitorio
647,IVAR,1496000,4,dormitorio
648,VITTSJÖ,828000,4,dormitorio
649,ALGOT,256800,1,dormitorio
65,RAMSTA,356000,1,dormitorio
650,EKET,60000,1,dormitorio
651,BILLSBRO,12000,2,dormitorio
652,HISHULT,13600,2,dormitorio
653,BILLSBRO,20000,2,dormitorio
654,KLACKBERG,28000,4,dormitorio
655,BROR,1236000,4,dormitorio
656,BESTÅ,120000,2,dormitorio
657,OXBERG,80000,3,dormitorio
658,EKET,200000,3,dormitorio
659,BEKANT,1196000,4,dormitorio
66,SONGESAND,316000,5,dormitorio
660,JONAXEL,708000,1,dormitorio
661,SELSVIKEN,120000,5,dormitorio
662,ENERYDA,28000,3,dormitorio
663,ÖSTERNÄS,56000,3,dormitorio
664,IVAR,60000,5,dormitorio
665,OXBERG,196000,3,dormitorio
666,IVAR,580800,3,dormitorio
